
INSTAFAKE_CUSTOM_1688545747.011179;0.941717803478241;0.3401044011116028;0.9462810158729553; 0.9366053342819214; 0.9414183146246969;16-relu |16-relu |;0.001; 100; 16;
INSTAFAKE_DEFAULT_1688545747.011179;0.8977504968643188;0.7709075808525085;0.8866799473762512; 0.9120654463768005; 0.8991935654770112;32-relu |32-relu |;0.001; 100; 64;
INSTAFAKE_CUSTOM_1691222012.442;0.8670756816864014;7.898952960968018;0.8293578028678894; 0.9243353605270386; 0.8742746561613474;16-relu |16-relu |;0.001; 100; 16;
INSTAFAKE_DEFAULT_1691222012.442;0.9222903847694397;0.4689808189868927;0.9188640713691711; 0.9263803958892822; 0.9226069253231204;16-relu |16-relu |;0.001; 100; 64;
INSTAFAKE_CUSTOM_1691222050.903768;0.9468302726745605;0.31463193893432617;0.9505154490470886; 0.942740261554718; 0.9466118898028982;16-relu |16-relu |;0.001; 100; 16;
INSTAFAKE_DEFAULT_1691222050.903768;0.8905930519104004;1.0184109210968018;0.902953565120697; 0.8752556443214417; 0.888888889153821;16-relu |16-relu |;0.001; 100; 16;
INSTAFAKE_CUSTOM_1691222229.390992;0.9151329398155212;9.760461807250977;0.9092742204666138; 0.9222903847694397; 0.9157360523976759;32-relu |32-relu |;0.001; 100; 16;
INSTAFAKE_DEFAULT_1691222229.390992;0.9182004332542419;0.476017028093338;0.9251559376716614; 0.9100204706192017; 0.9175257898832764;32-relu |32-relu |;0.001; 100; 16;
INSTAFAKE_CUSTOM_1691229438.608943;0.9386503100395203;1.0677481889724731;0.9350912570953369; 0.942740261554718; 0.9389001809122043;32-relu |32-relu |;0.001; 100; 16;
INSTAFAKE_DEFAULT_1691229438.608943;0.9202454090118408;0.602231502532959;0.9202454090118408; 0.9202454090118408; 0.9202454090118408;32-relu |32-relu |;0.001; 100; 16;
