
SPZ_CUSTOM_1688464511.828391;0.9366053342819214;0.2643866539001465;0.9348269104957581; 0.9386503100395203; 0.9367347088633651;16-relu |16-relu |;
SPZ_DEFAULT_1688464511.828391;0.9182004332542419;0.3427915871143341;0.9098196625709534; 0.9284253716468811; 0.919028358712247;32-relu |32-relu |;
SPZ_CUSTOM_1688464600.698157;0.9314928650856018;1.4811577796936035;0.9306122660636902; 0.9325153231620789; 0.9315628226917073;32-relu |32-relu |;
SPZ_DEFAULT_1688464600.698157;0.941717803478241;0.29635170102119446;0.9518828392028809; 0.93047034740448; 0.9410548056369772;32-relu |32-relu |;
SPZ_CUSTOM_1688464617.281855;0.9498977661132812;0.5730792284011841;0.9365079402923584; 0.96523517370224; 0.9506545839652127;32-relu |32-relu |;
SPZ_DEFAULT_1688464617.281855;0.9355828166007996;0.19955475628376007;0.9570815563201904; 0.9120654463768005; 0.934031422488055;32-relu |32-relu |;
SPZ_CUSTOM_1688464639.875901;0.93047034740448;2.1258766651153564;0.9218437075614929; 0.9406952857971191; 0.9311740941123688;32-relu |32-relu |;
SPZ_DEFAULT_1688464639.875901;0.9325153231620789;0.6234695911407471;0.9342916011810303; 0.93047034740448; 0.9323770590529478;32-relu |32-relu |;
SPZ_CUSTOM_1688464664.655034;0.9509202241897583;0.3074847459793091;0.9509202241897583; 0.9509202241897583; 0.9509202241897583;16-relu |16-relu |;
SPZ_DEFAULT_1688464664.655034;0.8946830034255981;1.549100637435913;0.8754863739013672; 0.9202454090118408; 0.8973080767419893;32-relu |32-relu |;
